5683	521	458	1698	55.7	2812
1476	182	91	1711	70.9	2387
1416	206	86	1923	70.7	2611
2365	253	122	2639	60.4	2678
1189	162	77	1837	77.5	2422
1244	156	85	2212	76.4	2596
2127	254	155	2052	68.7	2773
2986	417	217	2288	70.4	3066
2005	263	138	2411	69.1	3158
2025	248	136	2201	70.3	3011
6938	443	175	3312	63.1	2947
5926	444	234	3092	62.2	3249
12064	391	163	4869	41.5	4381
8490	386	181	3941	53.9	3109
2476	258	176	2188	75.2	2846
1121	136	89	2071	80.6	3044
1181	107	70	2258	68	3047
829	86	68	2032	75.5	2886
888	104	53	2414	67.3	2809
2215	278	159	2186	71.5	2952
2108	200	124	2115	73.5	2920
3767	307	216	2544	64.9	3165
7043	471	306	2501	57.9	3531
1857	188	131	2006	76.4	2914
1343	118	88	2275	73.9	3228
2644	139	70	3021	59.4	2847
8805	294	200	3317	49.6	3215
5551	317	220	2859	60.9	2779
1443	101	40	2382	71	2844
1070	83	53	1785	72.1	2426
613	65	36	1825	72.4	2578
762	87	40	1835	71.8	2487
1951	198	129	2235	67.2	2845
2879	213	125	2337	60	2935
1528	163	95	1729	65.2	2789
824	80	43	1890	70.1	2694
1023	108	58	2089	69	2752
1493	137	76	1951	65.4	2423
814	64	30	1839	67.7	2322
5016	373	220	2227	53.9	2603
877	93	50	1829	69.7	2583
1517	132	55	1879	65.5	2378
1859	207	92	1915	66	2487
1221	129	66	1875	64.2	2698
1170	153	70	1777	68.3	2573
1786	239	102	1850	67.7	2280
1318	90	37	1872	55.3	2108

